Block,Trial,V3,CueDirection,Condition,Level,V7,V8,V9,V10,V11,V12,V13,long,V15,V16,V17,V18,V19,V20,V21,SubID,BlockID
2,135,1,right,2,1050,0,0,0,31,0,0,0,1,1,0,1,1,0,1,0,1,2
2,136,1,right,2,450,0,0,0,14,0,0,0,0,2,1,1,1,0,1,0,1,2
2,137,1,left,2,150,0,0,0,18,0,0,0,0,2,1,1,1,0,1,0,1,2
2,138,1,left,2,150,0,0,0,7,0,0,0,0,2,1,1,1,0,1,0,1,2
2,139,1,right,2,450,0,0,0,14,0,0,0,0,2,1,1,1,0,1,0,1,2
2,140,1,right,2,300,0,0,0,20,0,0,0,0,2,1,1,1,0,1,0,1,2
2,10,1,right,2,450,0,0,0,10,0,0,0,0,2,1,1,1,0,1,0,1,2
2,22,1,left,2,750,0,0,0,9,0,0,0,1,1,1,1,1,0,1,0,1,2
2,44,1,left,2,300,0,0,0,16,0,0,0,0,2,1,1,1,0,1,0,1,2
2,54,1,right,2,300,0,0,0,34,0,0,0,0,2,1,1,1,0,1,0,1,2
2,56,1,right,2,150,0,0,0,4,0,0,0,0,2,1,1,1,0,1,0,1,2
2,72,1,right,2,1050,0,0,0,3,0,0,0,1,1,1,1,1,0,1,0,1,2
2,95,1,right,2,1050,0,0,0,27,0,0,0,1,1,1,1,1,0,1,0,1,2
2,118,1,left,2,600,0,0,0,6,0,0,0,0,2,1,1,1,0,1,0,1,2
2,124,1,left,2,450,0,0,0,36,0,0,0,0,2,0,1,0,1,0,0,1,2
2,125,1,right,2,450,0,0,0,6,0,0,0,0,2,1,1,1,0,1,0,1,2
2,135,1,right,2,1050,0,0,0,31,0,0,0,1,1,1,1,1,0,1,0,1,2
